"","downloaded","city","checkin","hotel_name","rating","stars","price_HUF","dist_center_km","dist_other_km","price_EUR","pricecat","price_avg","price_Sd","hotels","citytype"
"63","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Hampshire Hotel - Mijdrecht 'Marickenland'",3.9,4,41881,18,"Schiphol repülőtér. Amsterdam (AMS): 13",135.1,"avg",175.168028673835,137.256432680785,180,"big"
"64","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Hampshire Hotel - The Manor Amsterdam",4.2,4,140539,2.8,"Schiphol repülőtér. Amsterdam (AMS): 13",453.351612903226,"above avg",175.168028673835,137.256432680785,180,"big"
"65","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Hampshire Hotel - Theatre District Amsterdam",3.6,3,93692,1.4,"Schiphol repülőtér. Amsterdam (AMS): 11",302.232258064516,"above avg",175.168028673835,137.256432680785,180,"big"
"66","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Hampshire Hotel Fitland – Leiden",4,4,34039,36,"Schiphol repülőtér. Amsterdam (AMS): 24",109.803225806452,"avg",175.168028673835,137.256432680785,180,"big"
"67","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Het Hart van Weesp",3.7,2,35602,12,"Schiphol repülőtér. Amsterdam (AMS): 19",114.845161290323,"avg",175.168028673835,137.256432680785,180,"big"
"68","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Het Wapen van Harmelen",4.6,3,25924,32,"Schiphol repülőtér. Amsterdam (AMS): 28",83.6258064516129,"avg",175.168028673835,137.256432680785,180,"big"
"69","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Hilton Amsterdam",4.3,5,130859,2.8,"Schiphol repülőtér. Amsterdam (AMS): 9.5",422.125806451613,"above avg",175.168028673835,137.256432680785,180,"big"
"70","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Hilton Garden Inn Leiden",4.5,4,29732,38,"Schiphol repülőtér. Amsterdam (AMS): 26",95.9096774193548,"avg",175.168028673835,137.256432680785,180,"big"
"71","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Hilton Royal Parc Soestduinen",4.4,4,27233,38,"Schiphol repülőtér. Amsterdam (AMS): 41",87.8483870967742,"avg",175.168028673835,137.256432680785,180,"big"
"72","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Hof van Marken",4.4,3,30919,17,"Schiphol repülőtér. Amsterdam (AMS): 29",99.7387096774194,"avg",175.168028673835,137.256432680785,180,"big"
"73","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Holiday Inn Amsterdam",4,4,56790,4.3,"Schiphol repülőtér. Amsterdam (AMS): 9.7",183.193548387097,"avg",175.168028673835,137.256432680785,180,"big"
"74","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Holiday Inn Express Utrecht - Papendorp",4.3,3,24985,36,"Schiphol repülőtér. Amsterdam (AMS): 34",80.5967741935484,"avg",175.168028673835,137.256432680785,180,"big"
